Rank,Title,Username,Rating,Points,Tie Break,Performance
1,,franjedrez,2740,10.5,83.25,2584.6365
2,FM,LuisFSiles,2423,9.5,66.25,2368.2727
3,FM,EliamGerena,2490,9.5,64.75,2440.182
4,CM,savins,2275,9.5,58.25,2315.4546
5,,mapascual,2343,9.0,61.5,2386.3635
6,,Rey_Esimio,1929,9.0,58.0,1972.4546
7,,ievlev,2377,9.0,55.5,2258.182
8,,Diamantesco,2223,9.0,53.5,2310.4546
9,,sergi0medina,2305,9.0,52.0,2257.182
10,,AveFelix,2352,9.0,51.5,2364.6365
11,,mpv12,2357,9.0,50.5,2394.182
12,,Okabe7,2345,9.0,47.5,2312.9092
13,,MiyagiEndshpil,2226,8.5,51.0,2391.8
14,,czerjyo,2131,8.5,46.0,2154.9
15,,TeReviento,2327,8.5,45.5,2260.625
16,,Ivvar,2430,8.5,42.0,2345.75
17,,Borcut,2285,8.5,37.5,2333.3333
18,,S1nt0m4,2345,8.0,53.0,2227.0908
19,,Girian,2123,8.0,51.0,1996.7273
20,,InEgra,2154,8.0,50.5,2208.9092
21,,Croquetita,2111,8.0,48.5,2055.182
22,,Von_Nannov,2125,8.0,48.0,2120.0
23,,Frank_jk,2052,8.0,48.0,2017.2727
24,,delox123,1739,8.0,46.75,2092.6
25,,antitodozgz,2009,8.0,46.5,2050.7273
26,,justin3_tst,2052,8.0,46.0,2050.0
27,,Recursivo,2065,8.0,45.5,2107.9092
28,,mlffs1983,1949,8.0,45.0,2036.4546
29,,Adriii01,1712,8.0,45.0,2027.0
30,,MiquelPego,2177,8.0,45.0,1977.2727
31,,survivalzombie,2103,8.0,44.0,2081.0
32,,Vanegas,2136,8.0,43.5,2131.182
33,,ANUBYZ,2086,8.0,42.0,2194.3635
34,,Novaicris,1955,8.0,41.5,2127.2727
35,,elias067,2128,8.0,41.0,2074.2727
36,,ChessSantiTwitch,2048,8.0,37.75,2127.3
37,,Joaquinpascucci267,2233,7.5,53.0,2117.0
38,,Alexzambra,1791,7.5,51.75,2124.3635
39,,SmartR,2310,7.5,45.75,2149.182
40,,Ioachimum,2279,7.5,44.75,2155.3635
41,,MaRcos_5,2055,7.5,44.75,2112.5454
42,,Boca0descensos,1950,7.5,43.75,2168.9092
43,,Savoy_JP,2035,7.5,42.75,1945.1818
44,,BYSTROV_DANIIL77,2013,7.5,42.25,2066.6365
45,,antoniocham8,2085,7.5,42.25,1963.909
46,,ElLeon_de_Bohemia,2197,7.5,38.5,2138.5454
47,,Bellochess,1878,7.5,38.25,1953.2727
48,,alucard1965,2086,7.5,38.0,2110.625
49,,aLVARO2702,1954,7.5,37.75,2064.9092
50,,nestorcorral,2077,7.5,35.5,1899.5
51,,EvokingGames7,1980,7.5,34.5,2139.75
52,,spectre84,2218,7.5,29.75,2002.6364
53,,muhamedalhaj2008r,2111,7.0,45.5,2151.1
54,,Olimpiodoro,1734,7.0,42.0,1911.1818
55,,Baptistov612,1474,7.0,41.0,1962.5
56,,islafuego078,1768,7.0,41.0,1891.5454
57,,DaviJesus1,1995,7.0,40.5,1885.909
58,,karucs-4563,2031,7.0,39.0,1927.1818
59,,dimoni66,2067,7.0,39.0,1822.1818
60,,Cubitodecaldo,2133,7.0,38.5,2121.818
61,,SANDINO20,1852,7.0,38.0,1876.1818
62,,sarcosaurus,1560,7.0,38.0,1836.8182
63,,felitest,2251,7.0,37.0,2058.3635
64,,GilTrabajador,2080,7.0,35.75,2108.4546
65,,dacoba,2085,7.0,35.5,2050.182
66,,AjedrezConSergio,1753,7.0,35.5,1969.909
67,,MatiasAjsNemocon,1921,7.0,35.5,1895.4546
68,,FNR96,1555,7.0,35.5,1843.091
69,,Nahuel815,1906,7.0,35.0,1872.3636
70,,DiegoSoto12,1708,7.0,34.5,1894.6364
71,,Mario_Rober,1881,7.0,34.0,1962.5454
72,,Jane_Psychopomp,1860,7.0,34.0,1896.8182
73,,jorgegbanos,1848,7.0,34.0,1819.3636
74,,diegomoop,1671,7.0,34.0,1809.6364
75,,Airon04Ismael,1911,7.0,33.5,1927.6364
76,,ALVARITO297,1732,7.0,33.5,1866.091
77,,QuevedoRW,2109,7.0,33.25,1936.7273
78,,luismarquez,1491,7.0,33.0,1906.3636
79,,ERISSON91,1932,7.0,33.0,1843.909
80,,diegowc,1845,7.0,32.0,1853.8182
81,,diegocuban30,1882,7.0,30.25,1826.0
82,,Hugo_G_F,1764,7.0,30.0,1642.6364
83,,EloyBerty07,1673,7.0,30.0,1635.6364
84,,pikachuchess10,1930,7.0,29.5,1906.2727
85,,Demonioamarillo,1684,7.0,29.0,1890.091
86,,Erulees,1548,7.0,28.0,1941.3636
87,,aguila_de-orofino,1440,7.0,28.0,1900.2727
88,,Miller321,1885,7.0,28.0,1813.2727
89,,Darwin6xd,1622,7.0,28.0,1694.625
90,,joseansp,1809,7.0,26.5,1859.7273
91,,Julianpeludo,1719,7.0,25.5,1866.4546
92,,ajedrezinvencible1,2471,6.5,40.25,2215.6
93,,sastreria455,2226,6.5,36.5,2069.6667
94,,Emanuel-2004,2128,6.5,35.75,2136.25
95,,LaDolceGusto,2069,6.5,35.25,1919.091
96,,RRiRRautentico,1979,6.5,34.75,1992.6364
97,,ALGRANO,2049,6.5,34.75,1900.8889
98,,chatungo069,1699,6.5,33.5,1854.2
99,,DANNY_SEMINARIO0805,1639,6.5,31.75,1696.6364
100,,NOELBERTA,1954,6.5,30.75,1901.1111
101,,Srathompson,2011,6.5,30.75,1813.7273
102,,PeDrOVuElAmIlLaReNgO,1774,6.5,30.5,1896.3
103,,pvazplasen,1813,6.5,29.75,1977.0
104,,YESOK73,1741,6.5,29.5,1820.1818
105,,lihuemahmudchess,2230,6.5,29.0,2219.625
106,,yess426,1945,6.5,28.75,1974.8889
107,,NightHorses,1827,6.5,28.25,1594.4546
108,,ElViejoDeArriba,2275,6.5,28.0,2008.0
109,,tuprofedeajedrez,2399,6.5,27.5,2073.111
110,,andres_fysikk15,1744,6.5,27.5,1672.75
111,,drjegc,1886,6.5,27.0,1897.8
112,,Burgoss701,1496,6.5,26.75,1734.909
113,,ChoripanAsesino,1779,6.5,26.25,1961.2727
114,,PaulitaAjsNemocon,1392,6.5,25.75,1741.909
115,,BichaDios,1659,6.5,25.25,1729.5
116,,Junior1228,1533,6.5,24.75,1644.8182
117,,Jesux01,1998,6.5,24.25,1985.8182
118,,TotoBarbol,1857,6.5,23.75,1892.2727
119,,gonzyender,2102,6.5,22.0,2064.75
120,,ConLaCalma,2126,6.5,19.0,1931.6666
121,,LuisEnrique123454321,2116,6.0,32.0,2011.5
122,,Kropotnik,1641,6.0,32.0,1646.5454
123,,Gersand7,1762,6.0,30.0,1683.8182
124,,amajhon,1760,6.0,29.5,1611.8182
125,,Ruvisp,1666,6.0,29.0,1666.0
126,,Pazyalegria,1559,6.0,29.0,1601.0
127,,jheffer20,1755,6.0,28.5,1657.7273
128,,Marshallgomez,2214,6.0,28.0,2096.4285
129,,St1v3nt,1513,6.0,28.0,1658.7273
130,,Holq07,1852,6.0,27.75,1652.6364
131,,ataque1941,1849,6.0,27.5,1770.091
132,,penultimoError,1614,6.0,27.5,1613.7273
133,,RealHastaLaMuerteBrr,1831,6.0,27.0,1743.091
134,,alejo79,1514,6.0,27.0,1687.8182
135,,yesuardo,1919,6.0,26.0,1682.7273
136,,Yus3i,1633,6.0,26.0,1588.2727
137,,MvilaI,1795,6.0,26.0,1527.7273
138,,GoyitoBonito,1292,6.0,26.0,1398.6364
139,,DylanAG10,1576,6.0,25.5,1546.2727
140,,NITENGONOMBRE898989,1924,6.0,25.0,1828.8
141,,ROMANMAVRIN,1903,6.0,25.0,1826.3636
142,,leonmachado,1511,6.0,25.0,1601.5454
143,,miguelov3,1139,6.0,25.0,1561.5454
144,,Luxtis,1573,6.0,25.0,1537.4546
145,,DanielGC,1501,6.0,25.0,1476.7273
146,,PomaritoSchwob,1847,6.0,24.5,1552.6364
147,,karma210,1677,6.0,24.0,1786.909
148,,Ronnicito04,1575,6.0,24.0,1785.0
149,,luar7,1846,6.0,24.0,1605.0
150,,llx756ii,1626,6.0,24.0,1590.3636
151,,Joel2021,1499,6.0,24.0,1569.4546
152,,mapapake,1581,6.0,23.5,1665.4546
153,,QUEDATENCASA,1899,6.0,23.0,1829.6364
154,,maxi1403,1660,6.0,23.0,1813.8182
155,,MIKEL76,1766,6.0,23.0,1775.4546
156,,Juanpedroflorespicon,1797,6.0,23.0,1710.8182
157,,melnf,1590,6.0,22.5,1769.0
158,,melomanishee,1819,6.0,22.5,1603.25
159,,E_GMartinez,1612,6.0,22.0,1836.0
160,,FedericoRM,1416,6.0,22.0,1738.4546
161,,Alfasaurio,1379,6.0,22.0,1649.4546
162,,ElQueNoPerdona,1423,6.0,22.0,1514.1818
163,,FreddyJoseTorresG,1547,6.0,21.0,1619.4546
164,,SNK03,1636,6.0,20.5,1769.3636
165,,Nestor-2011,1770,6.0,20.0,1828.4546
166,,JulioQuicenoUV,1660,6.0,20.0,1619.2727
167,,Teddy_2323,1619,6.0,20.0,1587.7
168,,yvyryryi,1416,6.0,20.0,1474.3636
169,,jesussantfeliu,1602,6.0,19.5,1424.8182
170,,AlexanderGII,1540,6.0,18.0,1633.4546
171,,NDavidConde,1455,6.0,18.0,1571.4546
172,,Cristhian99,1540,5.5,27.75,1519.2727
173,,MarkusVinicius,2282,5.5,25.0,2239.6667
174,,JeroDacunda,1518,5.5,24.25,1635.5454
175,,Ferpiana,1857,5.5,24.0,1725.5
176,,MrCarlosHz,1340,5.5,23.75,1565.0
177,,Quijarho,1607,5.5,23.25,1685.2727
178,,sebassllr,1715,5.5,22.75,1778.0
179,,genaroolivares,1620,5.5,21.0,1674.3
180,,danlsk,1799,5.5,20.75,1624.5454
181,,Fassis1984,1223,5.5,20.25,1509.4546
182,,Aulig,1423,5.5,20.25,1461.4546
183,,Titoplata,1404,5.5,19.75,1518.3636
184,,AlexBlunt,1591,5.5,19.75,1500.1818
185,,Dachshund67,1792,5.5,19.5,1778.1
186,,anthonysmm,1508,5.5,19.5,1592.2858
187,,chacarita1010,1665,5.5,18.75,1603.0
188,,PARZIVAL4,1321,5.5,18.75,1410.091
189,,gonziii3014,1611,5.5,18.0,1658.909
190,,NLNKillspy,1498,5.5,17.75,1399.0
191,,charmonium007,1460,5.5,17.25,1559.7273
192,,Jabibo015GG,1643,5.5,16.25,1673.5454
193,,pablal,1250,5.5,15.75,1546.909
194,,NepoKiller09,1855,5.5,15.5,1728.3334
195,,OdioEsteJuegoDeMrd6,1550,5.5,15.5,1644.1
196,,GeraldoDeLaRivera,1644,5.5,15.5,1531.6666
197,,JAYYMIIX,1091,5.5,13.75,1540.9
198,,Erick03,1732,5.0,27.5,1687.3
199,,MAXIMILIANO_DONOSO,1960,5.0,26.0,1627.7273
200,,Yhonz,1508,5.0,26.0,1503.5454
201,,jhonj84,1664,5.0,25.0,1694.9
202,,Pedri28,1664,5.0,24.0,1632.1111
203,,MrGuzman5,1355,5.0,22.5,1371.2727
204,,U015,1651,5.0,22.0,1438.091
205,,Tinotin,2089,5.0,21.5,1731.3
206,,Bentrock,1792,5.0,20.5,1600.4445
207,,Jotajota76,1474,5.0,20.0,1543.091
208,,Raycol,1116,5.0,20.0,1326.091
209,,GGFabio,1344,5.0,19.5,1472.7
210,,peaton_huerfano,1308,5.0,19.0,1572.25
211,,Ragadominguin,1292,5.0,19.0,1254.4546
212,,elcefriano12,1480,5.0,18.5,1842.375
213,,Camaleon9,1812,5.0,18.0,1715.7
214,,canaria962,1569,5.0,18.0,1585.2727
215,,tomascuneo,1440,5.0,18.0,1564.3636
216,,Regulus_M,1022,5.0,18.0,1485.8182
217,,Andres_Zamorano,1145,5.0,18.0,1367.909
218,,ChristianFlores24,1339,5.0,18.0,1348.091
219,,Schachversteher,2290,5.0,17.5,1904.0
220,,JOSEMONTE,1480,5.0,17.0,1544.6364
