Rank,Title,Username,Rating,Score,Performance,Team
1,,franjedrez,2636,87,2615,
2,CM,AFAZ,2344,62,2431,
3,,EvilUnravel,2466,59,2377,
4,,HomeAlone20,2375,57,2286,
5,FM,EliamGerena,2383,56,2260,
6,,JotaM3,2337,54,2361,
7,,Unmillondejaques,2409,49,2340,
8,,lucumpe04,2484,49,2251,
9,,GilbertArenas00,2339,49,2219,
10,,Mamasitaisback,2184,49,2099,
11,,EVFA,2433,47,2295,
12,,chess-boomer,2270,47,2270,
13,,Millancito76,2264,44,2008,
14,,Kornflakes1994,2521,43,2050,
15,,Elgranconejo,2438,42,2257,
16,,Sachitachess,2204,42,2121,
17,,diegofernando2008,2158,40,2138,
18,,SeRgIo_gamer,1993,40,2001,
19,,gonzyender,2114,40,1982,
20,,Jkosmos,2174,40,1981,
21,,SupremoUGH,2320,39,2075,
22,,El_Destroza_KizesXD,2038,38,2238,
23,,sutikcram,2202,38,2212,
24,,supererrante,2141,38,2162,
25,,Maxivo,2201,38,2133,
26,,emilo_ibarra_brito,2180,37,2052,
27,,Rachmaninoff23,1839,37,1998,
28,,jhon314,2063,37,1954,
29,,Vanegas,2094,36,2173,
30,,GNovatO,2147,36,2165,
31,,Tinotin,2059,36,1964,
32,,francisquitomanuel,2100,35,2196,
33,,Dramy89,1908,35,1938,
34,,Libube,1794,35,1936,
35,,eloyoff34,1973,35,1725,
36,,Anubis91,2003,34,2010,
37,,Suanfonson,1748,34,1857,
38,,mapapake,1537,34,1764,
39,,Avgchessplayer,1927,33,1850,
40,,atomic1312,1644,33,1809,
41,,Comorsito06,1744,33,1687,
42,,spectre84,2219,32,2293,
43,FM,LuisFSiles,2383,32,2178,
44,,Motorpsico22,1912,32,1954,
45,,Atoff-2,1944,32,1942,
46,,imanol1212,1863,31,1951,
47,,DEPREDAD0R,1817,31,1910,
48,,Abjugaor,2248,31,1855,
49,,RufusDrop,1744,31,1833,
50,,Kropotnik,1667,31,1815,
51,,YayaChessss,1694,30,1770,
52,,killer8989,1853,30,1763,
53,,dieglm,1693,30,1720,
54,,bursalia2k,1478,30,1566,
55,,Jeremy_127,1530,30,1556,
56,,SpainALEPH,2033,29,1985,
57,,AYoungCrazyWriter,1923,29,1902,
58,,Voldem0rt81,1906,28,1849,
59,,Freyd3r,1766,28,1712,
60,,CarlosDx2003,1727,28,1700,
61,,palpanalgas,1579,28,1598,
62,,Lex_ElPato,2214,27,2192,
63,,Viudatrasmate,1955,27,1876,
64,,GomZ,1784,27,1813,
65,,ItzSomiK,1589,27,1697,
66,,Qweek,1511,27,1657,
67,,Darwin6xd,1583,27,1620,
68,,ORIONfull,1988,26,2067,
69,,pauba98,1822,26,1961,
