Rank,Title,Username,Rating,Score,Performance,Team
1,,franjedrez,2610,83,2562,
2,GM,Nitratochess,2590,59,2548,
3,,patan123456789,2454,55,2642,
4,,MrCoward,2338,55,2412,
5,,mhmiguel2000,2357,54,2357,
6,FM,MrHaddonfield,2436,50,2270,
7,,Elgranconejo,2428,50,2244,
8,,ElViejoDeArriba,2213,48,2362,
9,,Hikari-Kun,2418,48,2324,
10,,CarlitosCL,2345,48,2239,
11,,ejdh2000,2259,48,2235,
12,,LXEC,2192,48,2177,
13,,Bersek_account,2162,47,2154,
14,,mpv12,2346,46,2340,
15,,MexicanUntitledTwich,2235,46,2209,
16,,cesart22,2366,45,2431,
17,,onmaster,2176,44,2318,
18,FM,EliamGerena,2413,43,2254,
19,,Abjugaor,2256,43,2192,
20,,freddygtv,2101,43,2043,
21,,gerard1,1832,43,1811,
22,,kaosyorun,2138,42,2316,
23,,JotaM3,2353,42,2264,
24,,xyz5678,2233,42,2215,
25,,RMaster17,2018,42,2079,
26,,Athenaz,2264,41,2194,
27,,peongordo111,2360,40,2533,
28,,ffenixx,2315,40,2243,
29,,mapascual,2285,40,2219,
30,,josep56S,2310,40,2208,
31,,VILLAR_0715,2096,40,2160,
32,,Suanfonson,1799,40,1975,
33,,Terminator83,2383,39,2335,
34,,Unmillondejaques,2415,39,2292,
35,,AjedrezPintable,2275,39,2226,
36,,Erickito09,2036,39,2079,
37,,SantChess08,2222,38,2180,
38,,ivanchuk19,1872,37,1859,
39,,mehers31,2110,36,2095,
40,,postal_25,2192,36,2011,
41,,Loader4,2091,36,2000,
42,,Chaly,2091,36,1935,
43,,rvilarn,1841,36,1922,
44,,antitodozgz,1933,36,1893,
45,,carlitosceva12345,1827,36,1785,
46,,Agustinaportales,1826,36,1755,
47,,superapido,2272,35,2175,
48,,Fmezagorrini,2194,35,2141,
49,,Mitsuperu,2033,35,2074,
50,,EscAjedrezAnd,2154,35,2056,
51,,javiercc_GM,2236,35,2049,
52,,CapaDante,2077,35,2007,
53,,MrHazardous,2006,35,1994,
54,,WTHABUC,1981,35,1989,
55,,fermedia,1780,35,1905,
56,,fandres17,1740,35,1904,
57,,Miguelmj2009,1604,35,1764,
58,,davidsanchess,2079,34,2071,
59,,Vanegas,2076,34,2063,
60,,balachess1980,2146,34,1932,
61,,aaroncalvo,1741,34,1835,
62,,GNovatO,2096,34,1804,
63,,DiegoSoto12,1673,34,1782,
