Rank,Title,Username,Rating,Score,Performance,Team
1,FM,AttackSparrow,2515,74,2476,
2,,kolitza,2500,65,2415,
3,,franjedrez,2613,61,2589,
4,,jcfding,2277,60,2357,
5,,Saiiiiii,2537,60,2306,
6,FM,AjusteSolido,2480,48,2334,
7,,Drebo,2267,48,2317,
8,,Elgranconejo,2474,48,2315,
9,,AlexRevolledo,2203,48,2176,
10,,TeReviento,2308,46,2302,
11,CM,j_coca,2265,46,2221,
12,,BobEsponj4,2188,45,2240,
13,,lignito,2184,45,2216,
14,,Acendrado,2248,44,2270,
15,,Repetto94,2191,43,2285,
16,,ARomera,2166,42,1963,
17,,S1nt0m4,2353,41,2318,
18,,ArpsOrtiz,2322,41,2243,
19,,Foreigner20,2345,41,2196,
20,,YURBOFLEX,2197,41,2090,
21,,Viscam24AFC,2309,40,2335,
22,,gambithounter,2361,40,2141,
23,,Marshallgomez,2153,39,2126,
24,,CatalanQueen,2182,38,2265,
25,,ejdh2000,2226,38,2123,
26,,Tinotin,2092,38,2113,
27,,Lamichesstein,2047,37,2037,
28,,bealejman,2234,36,2211,
29,,yeisongrajal,1969,36,2118,
30,,JORMAN,1998,36,2069,
31,,william88888,2098,36,2033,
32,,Luisferchess,1899,36,1759,
33,,FanDeMasaye,2174,35,2373,
34,,Jero_el_siniestro,2506,35,2239,
35,,Rainx721,2073,35,2051,
36,,pikachuchess10,1907,35,2022,
37,,Jose_lazcano,2202,35,1957,
38,,EvokingGames7,1957,35,1896,
39,,Vanegas,2098,34,2275,
40,,slk92,2123,34,2191,
41,,Ej1234,2070,34,2187,
42,,AveFelix,2338,34,2160,
43,,carlo14XDC4C5,2121,34,2158,
44,,mnb1992,2081,34,2106,
45,,aLVARO2702,1955,34,2008,
46,,Arturo1106,1853,34,1860,
47,,goodgame_wellplayed,2215,33,2323,
48,,vornehm,2079,33,2119,
49,,fedejavi81,2064,33,2103,
50,,antoniocham8,2047,33,1974,
51,,julio_samuelsdb,1906,33,1968,
52,,NicolInvokado,1909,33,1908,
53,,Eldeliciosohhh,1846,33,1766,
54,,Edson16103,2104,32,2250,
55,,marcdeyvis,2056,32,2134,
56,,mpv12,2353,32,2053,
57,,Bross91,2180,32,2028,
58,,Ericks0n,1541,32,2015,
59,,gaelucho,2149,32,1984,
60,,ledzepp777,2024,32,1957,
61,,MoiMaster,1784,32,1943,
62,,diegowc,1902,32,1940,
63,,ecardoso85,1957,32,1893,
64,,Ruy_de_Rozas,1867,32,1853,
65,,N1P4,1665,32,1844,
66,,MrHazardous,2024,32,1809,
67,,Freyd3r,1807,32,1629,
68,,arathierry,1928,31,1840,
69,,DemberS06,1750,31,1601,
70,,antitodozgz,1981,30,2093,
71,,GaboColombia,1993,30,2044,
72,,Aarma2007,1776,30,2044,
73,,alep666,1952,30,2031,
74,,Cappe_73,1793,30,1858,
75,,Colodion,1905,30,1833,
76,,Libube,1814,30,1789,
77,,LXEC,2183,29,2118,
78,,Leiner_VG,2128,29,2100,
79,,Erubinic,2171,29,1994,
80,,Serkai,2211,29,1981,
81,,Felix_Antonio_ILINCA,2231,29,1945,
82,,L_Lawliet95a,1730,29,1719,
83,FM,JACarmona,2319,28,2204,
84,,rodrilp55,2021,28,2015,
85,,Maskito,2274,28,1994,
86,,Gabaco08,1955,28,1892,
87,,The_Bleessed,1952,28,1886,
88,,lihuemahmudchess,2165,28,1877,
89,,REDLION11,1795,28,1811,
90,,Nahuel_Ruiz_54321,1740,28,1789,
91,,Bentrock,1711,28,1770,
92,,elterrible26,1869,28,1757,
93,,GomZ,1728,28,1698,
94,,NolanAlejandroo17,1510,28,1658,
95,,gainza15tiziano,1802,28,1611,
96,,mcotto91,1586,28,1487,
97,,javierletona,2080,27,2009,
98,,Gabriels23,1972,27,2001,
99,,nujabes321,2076,27,1981,
100,,dimoni66,2012,27,1971,
101,,lolonunes04,1659,27,1945,
102,,Recursivo,2102,27,1926,
103,,Rayda14,1839,27,1839,
104,,DanielelTraviesoCol,1839,27,1785,
105,,AlexBlunt,1599,27,1712,
106,,Jahazziel,1737,27,1705,
107,,llx756ii,1632,27,1630,
108,,Nico_0,1337,27,1442,
109,,oklim,2055,26,2087,
110,WIM,kaissapy,2126,26,2043,
111,,Vividalu,2051,26,2018,
112,,Rodrillesky,2140,26,1977,
113,,RandomPhase,1862,26,1937,
114,,Novaicris,1869,26,1932,
115,,rafaelbustamante,1838,26,1893,
116,,Elsalguepro247,1822,26,1826,
117,,Matiii099,1802,26,1802,
118,,Valdor_abe,1691,26,1794,
119,,AjedrezSiento,1766,26,1764,
120,,Ruben55,1908,26,1695,
121,,Cristhian99,1504,26,1675,
122,,Udidhevdlxb,1545,26,1653,
123,,YESOK73,1679,26,1628,
124,,MiGueLxAngel,1630,26,1595,
125,,Moses-BS,1517,26,1557,
126,,cancona,1375,26,1551,
127,,TokioB,1469,26,1532,
128,,Toge0305,1439,26,1465,
129,,mirivalusomodulo,2250,25,2120,
130,,LuisEnrique123454321,2086,25,2044,
131,,Charoo123,1766,25,1917,
132,,maykel3920,1924,25,1893,
133,,isfan11,1932,25,1842,
134,,TetoyO,1805,25,1818,
135,,Shiryudedragon,2004,25,1815,
136,,Fabi79,1703,25,1756,
137,,Sebascl13,1624,25,1720,
138,,Dracujpfp,1728,25,1676,
139,,Goldsanchez,1580,25,1627,
140,,nanosc,1431,25,1615,
141,,Lawlieth7,2317,24,2174,
142,,joaaa01,2158,24,2030,
143,,Sinmiedoanada,2103,24,1964,
144,,CarlitosCL,2223,24,1940,
145,,Yerko_Luksic,1903,24,1896,
146,,Bernardino_Madera,1992,24,1832,
147,,elpatee,1759,24,1776,
148,,sevatrix120,1673,24,1759,
149,,Enroquencio,1757,24,1708,
150,,AaronG25,1651,24,1682,
151,,Draxler66,1759,24,1672,
152,,J_Victor_R,1574,24,1669,
153,,SantiagoOchoaa,1785,24,1665,
154,,lmrp,1569,24,1656,
155,,trestristres,1720,24,1587,
156,,Aronbonal,1631,24,1576,
157,,Erulees,1473,24,1462,
158,,BI-35_AVA-2WIN,2063,23,2166,
159,,LevonMk222,2311,23,2023,
160,,LC_MAX,2008,23,1997,
161,,AigMotril,1888,23,1931,
162,,cdalo,1896,23,1902,
163,,raumah,1621,23,1853,
164,,RomAst13,1926,23,1811,
165,,DEPREDAD0R,1904,23,1769,
166,,Kenzo_36,1688,23,1749,
167,,Kalvo_Toni,1924,23,1734,
168,,mlffs1983,1887,23,1713,
169,,danlsk,1737,23,1645,
170,,X_CUEVA_DURAN_JAIRO,1420,23,1459,
171,,kasp0r0v,1434,23,1459,
