Rank,Title,Username,Rating,Score,Performance,Team
1,,madeinchimbote,2560,81,2692,
2,,gatopanzaarriba,2565,81,2408,
3,CM,juancruzariasTDF,2480,76,2428,
4,FM,AttackSparrow,2507,72,2642,
5,FM,Th3Hound,2549,66,2494,
6,FM,shnitez,2561,65,2521,
7,,pasionporelajedrez,2412,62,2486,
8,IM,DrEstranged,2545,61,2413,
9,,soyvegana2003,2389,57,2394,
10,,VicentTheBoss,2353,54,2184,
11,,Elgranconejo,2502,52,2255,
12,,MrCoward,2330,49,2279,
13,,Ajcs1991,2226,48,2089,
14,,ElViejoDeArriba,2315,47,2256,
15,,witness1999,2119,46,2156,
16,,Jhonnyer1500,2205,44,2168,
17,WIM,kaissapy,2330,42,2245,
18,,ElLobo23,2282,42,2227,
19,,ajedrezinvencible1,2507,41,2491,
20,,TeReviento,2419,40,2349,
21,,FandeOrtez,2209,40,2279,
22,,joseMF,2399,40,2195,
23,,itspolchess,2119,39,2191,
24,,darkness77,2202,39,2052,
25,,BadChicken,2496,38,2515,
26,,SANCHEZBERZAIN,2157,38,2199,
27,,Dr_Nitsuga,2068,38,1959,
28,,Killerblackpawn,1962,37,2128,
29,,elreykiwi64,2220,37,2121,
30,,King_Whale1207,2042,37,2084,
31,,dacoba,2148,37,2069,
32,,Dinogaleno,2270,37,2003,
33,,mpv12,2350,36,2332,
34,FM,carloseduar100,2315,36,2294,
35,,KingFilosofo,2210,36,2173,
36,,marioemorac,2050,35,2242,
37,,Fandejoancodinach,2008,35,2051,
38,,nestorcorral,2191,35,2010,
39,,ElFantasmaDeLaOpera,2067,34,2183,
40,,Master-ICH,2125,34,2174,
41,,Marshallgomez,2258,33,2307,
42,,marcvdm2005,1960,33,2052,
43,,plateromoguer98,2232,33,2027,
44,,AaronBazan24,2074,33,1920,
45,,Bugsbunny123,1984,33,1905,
46,,EscAjedrezAnd,2175,32,2204,
47,,LaDolceGusto,2081,32,2164,
48,,ElAprendizEterno,2237,32,2134,
49,,lucabona777,1942,32,2109,
50,,shinigami_13,2085,32,2021,
51,,Vanegas,2113,32,2019,
52,,Carlos_Cbtis65,1885,32,1971,
53,,alonsofc,1926,32,1956,
54,,rosariomilhy,1913,32,1864,
55,,piratovk,2100,31,2049,
56,,Mordedorleiva,1986,31,2031,
57,,Sirgomita,2061,31,1982,
58,,Esau_Hdz,1980,31,1982,
59,,justin3_tst,2081,31,1981,
60,,DanielGarciaTZM,2111,31,1965,
61,,SanJorge83,1872,31,1936,
62,,RoiRizo23,1885,31,1918,
63,,LeonardoPerez18,1660,31,1895,
64,,jeshy21,1719,31,1884,
65,,jose_perez19,2007,31,1843,
66,,RRiRRautentico,2052,30,2105,
67,,Von_Nannov,2067,30,2103,
68,,Chess_Harley_Rock,2168,30,2094,
69,,EsUnaCuentaSecreta,1924,30,1964,
70,,maicontotosh,1948,30,1902,
71,,maykel3920,1929,30,1882,
72,,llx756ii,1592,30,1586,
73,FM,jovenSuave,2330,29,2282,
74,,Comodus,2079,29,2030,
75,,LautaroBisquerra,1926,29,1998,
76,,pablo_soliz,1818,29,1882,
77,,ericktorres,1923,29,1863,
78,,Marco_nika,1727,28,2013,
79,,eloyoff34,2037,28,2001,
80,,JoseSantosMedrano,2009,28,1964,
81,,Ruy_de_Rozas,1941,28,1956,
82,,Leapmanpepa,1883,28,1949,
83,,SANDINO20,1876,28,1906,
84,,M-123_4,2022,28,1864,
85,,JuniorICF,1819,28,1845,
86,,srivero29,1753,28,1801,
87,,Tinotin,1996,27,1930,
88,,profediegoalejandro,2075,27,1802,
89,,Oran-Gutan,1672,27,1752,
90,,Gam2710,1736,27,1750,
91,,CBR666,1729,27,1717,
92,,AlejoFastestMan,2283,26,2390,
93,,SvenXD,1989,26,2084,
94,,Emilianochess1972,2013,26,1991,
95,,Alfil_Caballo_Torre,1970,26,1967,
96,,cdurbinab,1873,26,1965,
97,,cuindichete,1813,26,1941,
98,,ReynelQf,1946,26,1933,
99,,B63766336JUAN,1947,26,1930,
100,,apagontotal,2070,26,1925,
101,,Etni231,2044,26,1908,
102,,mlffs1983,1971,26,1894,
103,,Havanaclubreserva,2156,26,1868,
104,,Bentrock,1884,26,1867,
105,,JosbelPerez,1979,26,1853,
106,,FernandoNieto,1638,26,1850,
107,,arico,1858,26,1819,
108,,GonzaloVillaverde,1919,26,1812,
109,,QUEDATENCASA,1891,26,1801,
110,,sopapiglobo1,1665,26,1772,
111,,Alain967,1385,26,1726,
112,,Sbihi,1710,26,1614,
113,,rtarjuel,1375,26,1548,
114,,Alfilescarlata730,1513,26,1448,
115,FM,LuisFSiles,2509,25,2398,
116,,roadto2249,2046,25,2130,
117,,enmanuelbatist,2142,25,1936,
118,,Alkaeda18,1917,25,1933,
119,,Arman-Mart,1831,25,1758,
120,,DragonDark111,1788,25,1727,
121,,PabloDeja100000,1580,25,1584,
122,,Felix_Antonio_ILINCA,2277,24,2323,
123,,luifernando,2091,24,1954,
124,,Kenzo_36,1894,24,1927,
125,,jaimenchuni,2006,24,1925,
126,,ALGRANO,2015,24,1852,
127,,SleepyMateG,1760,24,1846,
128,,Darwin6xd,1808,24,1802,
129,,fjcamacho06,2100,24,1791,
130,,L_Lawliet95a,1773,24,1777,
131,,URUGUAYO83,1759,24,1775,
132,,Iviasito,1574,24,1658,
133,,Olafito03,1872,24,1608,
134,,jcamats,1982,23,1968,
135,,MMH1997,1958,23,1953,
136,,Burgoss701,1621,23,1856,
137,,jmartincaro,1835,23,1818,
138,,JesusM256,1717,23,1736,
139,,Anderson5,1886,23,1729,
140,,Junior1228,1683,23,1695,
141,,Master-Darck,1618,23,1573,
142,,Ioachimum,2286,22,2266,
143,,MysteriousCho-hayai,2221,22,2007,
144,,GatoKawaiiDesuNe,1818,22,1961,
145,,Henry513,2216,22,1941,
146,,rodrilp55,1989,22,1920,
147,,Stich2,1837,22,1872,
148,,pescaitofrito,2139,22,1819,
149,,Erulees,1738,22,1818,
150,,Mrblunders12,1718,22,1722,
151,,DGA17,1538,22,1702,
152,,berobreo,1632,22,1678,
153,,guvar,1701,22,1673,
154,,Walberwhite1990,1628,22,1650,
155,,Gil_Otreb82,1539,22,1628,
156,,Ricardisthebest,1609,22,1617,
157,,Art_RG,1656,22,1606,
158,,Zelig6,1274,22,1595,
159,,Ketaendros,1451,22,1588,
160,,SOSO10,1492,22,1587,
161,,FNR96,1592,22,1566,
162,,Piolinbobombum,1632,22,1563,
163,,OzEmFM,1372,22,1553,
164,,Frisded,1566,22,1531,
165,,Abbaath86,1400,22,1500,
166,,AndresAlvarezGM,1576,22,1487,
167,,Kravick,1453,22,1481,
168,,RaTauro,1580,22,1475,
169,,Brandon_ladera2021,1240,22,1328,
170,,AjedrezNT_com,2280,21,2293,
171,,Goosline,1856,21,2003,
172,,iGeorge_TV,1838,21,1977,
173,,xManuII,1552,21,1824,
174,,adversario1,1954,21,1749,
175,,bongoloco,1587,21,1699,
176,,Chessneillos,1651,21,1673,
177,,ErosThan,1640,21,1620,
178,,PepeArias,1460,21,1611,
179,,emersonpv2135,1531,21,1604,
180,,Phab1an96,1519,21,1604,
181,,PITINDRIUuu,1643,21,1576,
182,,MaxBrod,1495,21,1550,
183,,Ian1509,1738,20,1887,
184,,rudydanielcazorla,1913,20,1872,
185,,AaronG25,1702,20,1801,
186,,melnf,1714,20,1750,
187,,Canor3000,1743,20,1732,
188,,IanChesscom,1802,20,1723,
189,,David_BR2009,1500,20,1711,
190,,olguinlucas22,1563,20,1655,
191,,Licuado13,1581,20,1647,
192,,Bobbleny,1415,20,1586,
193,,Jotajota76,1478,20,1505,
194,,koalamu,1616,20,1498,
195,,CardonaT22,1317,20,1437,
196,,servalabari,2066,19,2013,
197,,Emanuel-2004,2172,19,2010,
198,,GilTrabajador,1994,19,1900,
199,,SantiagoOchoaa,1948,19,1874,
200,,GeorgeRoper,2055,19,1840,
201,,jim_stark,1853,19,1757,
202,,Angeldrez01,1564,19,1732,
203,,kmguaman,1886,19,1712,
204,,ElGranFreezer,2027,19,1707,
205,,keillrandol,1597,19,1569,
206,,jorge001,1475,19,1560,
207,,UzumakiNaruto,2540,18,2350,
208,,Luisprocrak,2307,18,2259,
209,,Elgatogordo,1965,18,2225,
210,,PabloAguilar,1778,18,1854,
211,,Lawlieth7,2292,18,1822,
